Player,Team,Player & Team,season17_18
Jose Calderon,CLE,Jose Calderon CLE,2328652
Andrew Bogut,LAL,Andrew Bogut LAL,2328652
Devin Booker,PHO,Devin Booker PHO,2319360
Georgios Papagiannis,SAC,Georgios Papagiannis SAC,2301360
Dante Cunningham,BRK,Dante Cunningham BRK,2300000
Jameer Nelson,DET,Jameer Nelson DET,2262871
Justin Patton,MIN,Justin Patton MIN,2247480
Guerschon Yabusele,BOS,Guerschon Yabusele BOS,2247480
Monta Ellis,IND,Monta Ellis IND,2245400
Cameron Payne,CHI,Cameron Payne CHI,2203440
Denzel Valentine,CHI,Denzel Valentine CHI,2186400
Josh Smith,NOP,Josh Smith NOP,2183934
Kyle Anderson,SAS,Kyle Anderson SAS,2151704
D.J. Wilson,MIL,D.J. Wilson MIL,2135040
Matt Barnes,SAC,Matt Barnes SAC,2133542
Derrick Rose,UTA,Derrick Rose UTA,2116955
Marreese Speights,ORL,Marreese Speights ORL,2116955
Michael Beasley,NYK,Michael Beasley NYK,2116955
Aaron Brooks,MIN,Aaron Brooks MIN,2116955
Luc Mbah a Moute,HOU,Luc Mbah a Moute HOU,2116955
JaVale McGee,GSW,JaVale McGee GSW,2116955
Jeff Green,CLE,Jeff Green CLE,2116955
Tony Allen,CHI,Tony Allen CHI,2116955
Damien Wilkins,IND,Damien Wilkins IND,2116955
Omri Casspi,GSW,Omri Casspi GSW,2106470
Mario Chalmers,MEM,Mario Chalmers MEM,2106407
Darius Miller,NOP,Darius Miller NOP,2100000
Kelly Oubre,WAS,Kelly Oubre WAS,2093040
Juan Hernangomez,DEN,Juan Hernangomez DEN,2076840
T.J. Leaf,IND,T.J. Leaf IND,2028360
Tim Frazier,WAS,Tim Frazier WAS,2000000
Anthony Tolliver,SAC,Anthony Tolliver SAC,2000000
Terry Rozier,BOS,Terry Rozier BOS,1988520
Luke Babbitt,MIA,Luke Babbitt MIA,1974159
John Collins,ATL,John Collins ATL,1936920
Anderson Varejao,POR,Anderson Varejao POR,1913345
Rashad Vaughn,NOP,Rashad Vaughn NOP,1889040
Tim Duncan,SAS,Tim Duncan SAS,1881250
Wade Baldwin,MEM,Wade Baldwin MEM,1874400
Larry Sanders,MIL,Larry Sanders MIL,1865547
Harry Giles,SAC,Harry Giles SAC,1859400
Sam Dekker,LAC,Sam Dekker LAC,1794600
Terrance Ferguson,OKC,Terrance Ferguson OKC,1785000
Henry Ellenson,DET,Henry Ellenson DET,1780800
Eric Moreland,DET,Eric Moreland DET,1739333
Jerian Grant,CHI,Jerian Grant CHI,1713840
Jarrett Allen,BRK,Jarrett Allen BRK,1713720
Mike Scott,WAS,Mike Scott WAS,1709538
Tyler Zeller,MIL,Tyler Zeller MIL,1709538
Quincy Acy,BRK,Quincy Acy BRK,1709538
Malik Beasley,DEN,Malik Beasley DEN,1700640
